id,Markdown data to construct field,narrative,Active,Role,Religious practice or teaching,Figures,Monasteries,Figure name,Monastery name,Formula
1,"[""[Sangpu](mon_11)|Student|Prasangika Madhyamaka, Miktsema prayer|He learned Sakya and Kadampa teachings from the Sakya master Rendawa Zhonnu Lodro."", ""[Sera Me](mon_1)|Founder (of Sera Monastery)|Geluk scholasticism|It was founded by Tsongkhapa's disciple Shakya Yeshe, who had been sent to the Ming court of Yongle in Tsongkhapa's stead and received offerings to found this monastery"", ""[Ganden](mon_8)|founder and throne-holder|Uma Gongpa Rabsel (Elucidation of the Thought)|He founded this monastery in 1410, naming it after the Pure Land of Maitreya. He had temples and three dimensional mandalas constructed for the tantric deities Guhyasamaja, Vajrabhairava, and Cakrasamvara. He is usually considered the first Ganden Tripa (or Throne holder), a position that became an important leadership role in the Geluk tradition. After appointing Gyelstabje as his successor, he died at Ganden and his body was entombed  inside a jeweled stupa there.""]",Tsongkhapa learned Sakya and Kadampa teachings from the Sakya master Rendawa Zhonnu Lodro.,False,Student,"Prasangika Madhyamaka, Miktsema prayer",tm.fig.1,tm.mon.11,Tsongkhapa Lobzang Drakpa,Sangpu,"""[Tsongkhapa Lobzang Drakpa](tm.fig.1)|[Sangpu](tm.mon.11)|Student|Prasangika Madhyamaka, Miktsema prayer|Tsongkhapa learned Sakya and Kadampa teachings from the Sakya master Rendawa Zhonnu Lodro."""
2,"[""[Chakpori](mon_14)|military advisor|none|Before Chakpori became the Geluk medical college, it was the site of a battle that the Tsang king, ally and patron of the Karmapa, lost to the Mongols allied with U forces. The Karmapa may or may not have been present with the army"", ""[Tsurphu](mon_12)|Student, throne holder|Kagyu teachings|The Karmapa entered Tsurphu, head monastery of the Karma Kagyu tradition, in 1615, shortly after the death of the Gyeltsab (the leader in between Karmapas). He was ordained and educated by the Third Pawo. His teachings included \""various Buddhist scriptures from the Kangyur and Tengyur, including the Avata\u1e41saka, Ratnak\u016b\u1e6da, Vinaya, Praj\u00f1\u0101p\u0101ramit\u0101, and various other sutras and tantras, as well as the life stories of saints, religious histories, poetics, and the collected writings of former Karmapas, Zhamars, and other masters\"". He returned to Tsurphu for ful ordination by Pawo, Zhamar and Situ lamas in 1624. After the Zhamar lama died he accompanied his remains back to Tsurphu and had a reliquary constructed. He took up residence  in Tsurphu again supervising the construction of the temple and going on retreat. He generally was resident in Tsurphu through the Tibetan Civil War although he left at times for pilgrimage. AFter the victory of Geluk forces, he went into exile, but was allowed to return to Tsurphu at the end of his life in 1674, and some surrounding estates were restored to him. He did not return alive, but his remains were installed int he monastery after his death""]","Before Chakpori became the Geluk medical college, it was the site of a battle that the Tsang king, ally and patron of the Karmapa, lost to the Mongols and the allied forces of U. The Karmapa may or may not have been present with the army.",False,military advisor,none,tm.fig.2,tm.mon.14,"""Tenth Karmapa, Choying Dorje""",Chakpori,"""[Tenth Karmapa, Choying Dorje](tm.fig.2)|[Chakpori](tm.mon.14)|military advisor|none|Before Chakpori became the Geluk medical college, it was the site of a battle that the Tsang king, ally and patron of the Karmapa, lost to the Mongols and the allied forces of U. The Karmapa may or may not have been present with the army."""
3,"[""[Dzogchen](mon_7)|Student, hermit|Guhyagarbha Tantra|He studied with Dzogchen Khenpo Pema Vajra, and spent the end of his life in a hermit near Dzogchen monastery  at Ju."", ""[Ganden](mon_8)|Visitor|Geluk philosophy and debate|He stayed for a month during a pilgrimage to Lhasa in 1861. He learned about Geluk scholarship and educational practices, as well as their tradition of debate. He would later introduce debate into Nyingma studies"", ""[Shechen](mon_15)|Student|nan|Mipham's initial monastery when he ordained as a novice was Shechen's branch monastery Jumohor Sangnga Choling. He also taught the Fifth Rabjam lama of Shechen. One of Mipham's reincarnations was also recognized at Shcehn.""]",Mipham studied with Dzogchen Khenpo Pema Vajra and spent the end of his life in a hermit near Dzogchen monastery at Ju.,False,"Student, hermit",Guhyagarbha Tantra,tm.fig.3,tm.mon.7,Mipham,Dzogchen,"""[Mipham](tm.fig.3)|[Dzogchen](tm.mon.7)|Student, hermit|Guhyagarbha Tantra|Mipham studied with Dzogchen Khenpo Pema Vajra and spent the end of his life in a hermit near Dzogchen monastery at Ju."""
4,"[""[Sangpu](mon_11)|Student|Kadampa tradition|Sakya Pandita studied under Shuton Dorje Kyab"", ""[Sakya](mon_13)|Throne holder|Sakya teachings, the Five Sciences, Indo-Tibetan philosophy|He inherited this head monastery of the Sakya tradition by being part of the Khon family. He studied under his uncle Drakpa Gyelsten, his predecessor throne holder, and others. He was especially interested in Indian Sanskritic and philosophical learning. He introduced the five major and five minor sciences into Tibetan learning, and wrote influential philosophical treatises defending Sakya views against Kagyu and Nyingma views. He wrote works such as the Treasury of Epistemology, the Clear Differentiation of the Three Vows, Clarifying the Sage's Intentions, the Treasury of Aphoristic Jewels, and Entrance Gate for the Wise. He also began forming ties with the Mongol rulers, which would eventually elevate the Sakya into the temporal rulers of Tibet as vassals of the Yuan dynasty.""]",Sakya Pandita studied under Shuton Dorje Kyab.,False,Student,Kadampa tradition,tm.fig.4,tm.mon.11,Sakya Pandita,Sangpu,[Sakya Pandita](tm.fig.4)|[Sangpu](tm.mon.11)|Student|Kadampa tradition|Sakya Pandita studied under Shuton Dorje Kyab.
5,"[""[Ganden](mon_8)|Throne holder|Geluk teachings|He became the third throne holder of Ganden Monastery in 1431, succeeding Tsongkhapa and Gyeltsabje. He taught and granted initiations until his death in 1438"", ""[Changra](mon_16)|Abbot|Geluk sutra and tantra teachings|After meeting initially with Tsongkhapa in 1407, Khedrupje assumed the abbacy of this Kadampa monastery (located within his home region of Tsang), and converted it to Geluk in 1413"", ""[Sera Me](mon_1)|Student|Geluk sutra and tantra teachings|He took teachings from Tsongkhapa at a retreat near Sera Monastery in 1407""]","Khedrupje became the third throne holder of Ganden Monastery in 1431, succeeding Tsongkhapa and Gyeltsabje. He taught and granted initiations until his death in 1438.",False,Throne holder,Geluk teachings,tm.fig.5,tm.mon.8,Khedrupje,Ganden,"""[Khedrupje](tm.fig.5)|[Ganden](tm.mon.8)|Throne holder|Geluk teachings|Khedrupje became the third throne holder of Ganden Monastery in 1431, succeeding Tsongkhapa and Gyeltsabje. He taught and granted initiations until his death in 1438."""
6,"[""[Pelpung](mon_17)|Student|Five Treatises, Rime|He was sent by the local chieftain Tsepel to the monastery in 1833. He did a second ordination encouraged by Wongen Tulku, under the Tai Situ Lama. (this was done for sectarian reasons, as Nyingma and Karma Kagyu had different). He received the ordination name Yonten Gyatso, and later recognized as the Kongtrul tulku. He was patronized by local noble families and performed rituals for them.\nIn 1840 he was visited by Jamyang Kyenste Wangpo, another important lama of the Rime tradition. He also gave tantric vows to the famous Nyingma terton Chokgyur Lingpa in 1853. He edited the Five Treatises, on tantric, doctrinal and meditative teachings. During the Nyarong war, he negotiated for the warring armies to spare Pelpung monastery, he subsequently got into political trouble with lamas and ended up in exile from 1874 to 1886, before returnings."", ""[Shechen](mon_15)|Student|Nyingma teachings|He was sent to Shechen (a Nyingma monastery) after a lama noticed his great learning in Bon. There he studied under Shechen Wontrul Gyurme Tutob Namgyel was ordained in 1832. Later on he taught Shechen lamas and a Shechen lama was recognized as one of his incarnations."", ""[Tsadra Rinchen Drak](mon_18)|Founder, hermit/retreatant|Five Treasureies, Jamgon Kongtrul's retreat manual|IN 1843 Jamgon Kongtrul founded this hermitage near Pelpung, repairing buildings and doing an initial personal retreat. In 1857 he consecrated it as one of the 25 Great Places of Kham and then began a regular series of three-year retreats starting in 1861, using his own retreat manual""]","Jamgön Kongtrul Lodrö Thayé was sent by the local chieftain Tsepel to the monastery in 1833. With the encouragement of Wongen Tulku, he underwent a second ordination here under the Tai Situ Lama. (This was done for sectarian reasons, as Nyingma and Karma Kagyu had different ordination traditions). He received the ordination name Yonten Gyatso, and later recognized as the Kongtrul tulku. Jamgön Kongtrul was patronized by local noble families and performed rituals for them.\nIn 1840 he was visited by Jamyang Kyenste Wangpo, another important lama of the Rime tradition. He also gave tantric vows to the famous Nyingma tertön Chokgyur Lingpa in 1853. He edited the Five Treatises, which contain tantric, doctrinal and meditative teachings. During the Nyarong war, he negotiated for the warring armies to spare Pelpung monastery. He subsequently got into political trouble with local lamas and was sent into exile from 1874 to 1886, before returning later in life.",False,Student,"Five Treatises, Rime",tm.fig.6,tm.mon.17,Jamgön Kongtrul Lodrö Thayé,Pelpung,"""[Jamgön Kongtrul Lodrö Thayé](tm.fig.6)|[Pelpung](tm.mon.17)|Student|Five Treatises, Rime|Jamgön Kongtrul Lodrö Thayé was sent by the local chieftain Tsepel to the monastery in 1833. With the encouragement of Wongen Tulku, he underwent a second ordination here under the Tai Situ Lama. (This was done for sectarian reasons, as Nyingma and Karma Kagyu had different ordination traditions). He received the ordination name Yonten Gyatso, and later recognized as the Kongtrul tulku. Jamgön Kongtrul was patronized by local noble families and performed rituals for them.\\nIn 1840 he was visited by Jamyang Kyenste Wangpo, another important lama of the Rime tradition. He also gave tantric vows to the famous Nyingma tertön Chokgyur Lingpa in 1853. He edited the Five Treatises, which contain tantric, doctrinal and meditative teachings. During the Nyarong war, he negotiated for the warring armies to spare Pelpung monastery. He subsequently got into political trouble with local lamas and was sent into exile from 1874 to 1886, before returning later in life."""
7,"[""[Tsering Jong](mon_21)|preacher, founder of hermitage, abbot|Longchen Nyingtik|He founded the hermitage Chonggye (later using it for his own retreats) and transmitted the Longchen Nyingtik. It served as his personal seat until his death in 1798"", ""[Samye](mon_20)|Retreatant, patron|Yonten Dzod|He went on a three year retreat 1759-1762 in the Chimpu caves (specifically Upper and Lower Nyang), during which he had visions of the Nyingma master Longchenpa and is believed to have received blessings and terma teachings. He also sponsored a project to restore the monastery, and in 1788 held an audience with the royal family of"", ""[Pelri Osel Tekchenling](mon_19)|Student, retreatant|Mahamudra, Yeshe Tongdrol, Longchen Nyingtik|He was enrolled in this Nyingma monastery at the age of six, although he was not said to be a good student initially. He studied under Tukchok Dorje and received transmissions such as Mahamudra and the Yeshe Tongdrol of Tennyi Lingpa. He went on a retreat from 1757 to 1760, in which he is said to have received a \""mind treasure\"" of the Longchen Nyingtik treasure.""]","Jigme LIngpa founded the hermitage Chonggye and transmitted the Longchen Nyingtik. It served as his personal seat until his death in 1798, and he used it for his retreats.",False,"preacher, founder of hermitage, abbot",Longchen Nyingtik,tm.fig.7,tm.mon.21,Jigme Lingpa,Tsering Jong,"""[Jigme Lingpa](tm.fig.7)|[Tsering Jong](tm.mon.21)|preacher, founder of hermitage, abbot|Longchen Nyingtik|Jigme LIngpa founded the hermitage Chonggye and transmitted the Longchen Nyingtik. It served as his personal seat until his death in 1798, and he used it for his retreats."""
8,"[""[Tanak Serling](mon_24)|Founder|Madhayamaka works and other teachings|He founded the monastery in 1466 and was based there for several years afterward, writing various works and receiving patronage from the Rinpungpa rulers. He returned there at the end of his life."", ""[Nalendra](mon_22)|Student|Sakya teachings|He went to Nalendra at age nineteen and took teachings from Rongton Sheja Kunrik"", ""[Ngor](mon_23)|Student|Lamdre, Madhyamaka philosophy|He took tantric teachings from Ngorchen Kunga Zangpo, and other teachings from Muchen Konchok Zangpo and Gungru Sherab Zangpo (who taught philosophy)""]","Gorampa founded the monastery in 1466 and was based there for several years afterward, writing various works and receiving patronage from the Rinpungpa rulers. He returned there at the end of his life.",False,Founder,Madhayamaka works and other teachings,tm.fig.8,tm.mon.24,Gorampa,Tanak Serling,"""[Gorampa](tm.fig.8)|[Tanak Serling](tm.mon.24)|Founder|Madhayamaka works and other teachings|Gorampa founded the monastery in 1466 and was based there for several years afterward, writing various works and receiving patronage from the Rinpungpa rulers. He returned there at the end of his life."""
9,"[""[Chone](mon_26)|Student|none|Chone is where Ngawang Tsultrim was initially ordained as a novice and where he underwent the first stages of the monastic curriculum."", ""[Sera Me](mon_1)|Resident lama, patron, student|the Geluk curriculum|Sera Me was Ngawang Ts\u00fcltrim's home monastery, where he enrolled in 1745 and eventually attained a Geshe Lharampa degree. He entered because his local monastery of Chone had strong ties to Sera Me. he was especially devoted to patronizing Sera Me when he served as regent, sponsoring statues and housing for monks and funding for rituals (or simply coming for a visit). He was posthumously recognized as the Tshemonling lama and Sera Me became the home of this incarnation's labrang (estate). His biography was written by abbots of Sera Me"", ""[Yonghe Gong](mon_25)|Disciplinarian, preacher, imperial preceptor|Tsongkhapa's Lamrim, Guhyasamaja, Vajrabhairava, Chakrasamvara|From 1763 to 1777 he served as chief disciplinarian and preacher under the imperial preceptor Changkya Rolpe Dorje and the Qianlong emperor. In addition to teaching the monks he performed long life ceremonies for the emperor. During his own appointment as imperial preceptor or \""lama of the seal\"", he continued his role as preacher and tantric master, and also worked on a Manchu version of the Kangyur. The temple was the site of audiences between Ngawang Ts\u00fcltrim and the emperor which were opportunities for religious teaching and diplomacy between Tibet and the imperial throne.""]",Choné is where Ngawang Tsultrim was initially ordained as a novice and where he underwent the first stages of the monastic curriculum.,False,Student,none,tm.fig.9,tm.mon.26,Ngawang Tsültrim,Chone,[Ngawang Tsültrim](tm.fig.9)|[Chone](tm.mon.26)|Student|none|Choné is where Ngawang Tsultrim was initially ordained as a novice and where he underwent the first stages of the monastic curriculum.
10,"[""[Sangpu](mon_11)|Student|Kadmpa tradition, Pram\u0101\u1e47a, Praj\u00f1\u0101p\u0101ramit\u0101, Madhyamaka, Abhidharmako\u015ba, and Vinaya|He went through the standard monastic curriculum under abbot Shakya Zhonnu, in the early 14th century"", ""[Tsurphu](mon_12)|Student, Patron|Kalacakra, Chod|At a young age, inspired by a vision, he went to the monastery received teachings on Kalachakra and Ch\u00f6 from Sherab Pel, Nyenre Gendun Bum, Namtsowa Mikyo Dorje. He had new temple constructed with a gilded roof and secured an imperial tax exemption."", ""[Tsel Gungtang](mon_27)|Patron and overseer|Tselpa Kagyu|He was the teacher of the monastery's abbot Kunga Dorje and secrued from the emperor titles from him. As Karmapa he tried to maintain good relations between the Tselpa Kagyu school based here, and his own Karma Kagyu school""]","The Third Karmapa went through the standard monastic curriculum under abbot Shakya Zhonnu, in the early 14th century.",False,Student,"Kadmpa tradition, Pram\u0101\u1e47a, Praj\u00f1\u0101p\u0101ramit\u0101, Madhyamaka, Abhidharmako\u015ba, and Vinaya",tm.fig.10,tm.mon.11,"""Third Karmapa, Rangjung Dorje""",Sangpu,"""[Third Karmapa, Rangjung Dorje](tm.fig.10)|[Sangpu](tm.mon.11)|Student|Kadmpa tradition, Pram\\u0101\\u1e47a, Praj\\u00f1\\u0101p\\u0101ramit\\u0101, Madhyamaka, Abhidharmako\\u015ba, and Vinaya|The Third Karmapa went through the standard monastic curriculum under abbot Shakya Zhonnu, in the early 14th century."""
